id_contrat,num_contrat,id_client,ref_intermediaire,code_produit,libelle_produit,type_produit,statut_produit,code_regime_fiscal,code_etat_contrat,code_mode_gestion,prime_initiale,somme_versements,somme_rachats,valeur_rachat,valeur_acquise,date_souscription,date_effet_contrat,date_derniere_revue,date_prochaine_revue,flag_nantissement,flag_resynchro,nom_intermediaire,pays_intermediaire,type_intermediaire,score_lc189,risque_contrat,remediation_ouverte
BA000029,BA000029,CLI_0019,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,250000,250000,0,280700,58100,2021-02-14,2021-02-14,,,True,False,Valoria Capital,France,courtier,0,LOW,False
BA000030,BA000030,CLI_0020,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,L,463000,463000,0,580500,134000,2025-02-24,2025-02-24,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000031,BA000031,CLI_0021,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,2473000,2473000,778000,2074800,644200,2025-08-26,2025-08-26,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000032,BA000032,CLI_0022,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,L,574000,574000,0,554300,120500,2019-08-18,2019-08-18,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000033,BA000033,CLI_0023,INT_0008,WEACAP_FI,Wealins Capitalisation Finland,CAP,actif,CAP,ENC,C,471000,471000,0,513000,168200,2024-08-11,2024-08-11,,,False,False,Helsinki Wealth Advisors,Finland,courtier,0,LOW,False
BA000034,BA000034,CLI_0024,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,261000,261000,0,324300,87300,2024-08-05,2024-08-05,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000035,BA000035,CLI_0025,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,L,398000,398000,0,506500,100700,2020-01-18,2020-01-18,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000036,BA000036,CLI_0026,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,356000,545000,0,504100,169100,2018-11-20,2018-11-20,,,True,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000037,BA000037,CLI_0027,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,L,534000,622000,0,765600,197400,2020-09-25,2020-09-25,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000038,BA000038,CLI_0028,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,293000,0,371100,75900,2020-04-28,2020-04-28,,,False,True,Valoria Capital,France,courtier,0,LOW,False
BA000039,BA000039,CLI_0028,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,250000,0,229100,47600,2019-09-25,2019-09-25,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000040,BA000040,CLI_0028,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,267000,267000,0,287700,68700,2026-04-19,2026-04-19,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000041,BA000041,CLI_0029,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,500000,560000,222000,368600,76800,2021-02-12,2021-02-12,,,True,False,Valoria Capital,France,courtier,0,LOW,False
BA000042,BA000042,CLI_0030,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,TER,C,250000,250000,0,299300,74300,2025-05-26,2025-05-26,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000043,BA000043,CLI_0031,INT_0006,WEACAP_LU,Wealins Capi Luxembourg,CAP,actif,CAP,ENC,C,711000,772000,261000,663600,152800,2023-03-22,2023-03-22,,,False,False,Lux Private Office,Luxembourg,family_office,0,LOW,False
BA000044,BA000044,CLI_0032,INT_0008,WEACAP_FI,Wealins Capitalisation Finland,CAP,actif,CAP,ENC,L,2364000,2364000,542000,2389400,495200,2023-09-20,2023-09-20,,,False,False,Helsinki Wealth Advisors,Finland,courtier,0,LOW,True
BA000045,BA000045,CLI_0033,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,ENC,C,250000,250000,0,279600,65300,2024-01-08,2024-01-08,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000046,BA000046,CLI_0033,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,ENC,C,250000,250000,73000,203400,34200,2024-09-02,2024-09-02,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000047,BA000047,CLI_0034,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,L,266000,352000,0,374500,78100,2025-06-20,2025-06-20,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000048,BA000048,CLI_0034,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,538000,538000,163000,400800,133900,2024-09-04,2024-09-04,,,False,True,Patrimoine & Conseil,Belgium,courtier,0,LOW,True
BA000049,BA000049,CLI_0035,INT_0003,WEALIFE_NO,Wealins Life Norway,AV,actif,AV,ENC,C,250000,250000,86000,155600,47500,2024-06-23,2024-06-23,,,True,False,Nordic Wealth Partners,Norway,courtier,0,LOW,False
BA000050,BA000050,CLI_0036,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,C,264000,304000,0,341800,59800,2019-03-29,2019-03-29,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000051,BA000051,CLI_0037,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,250000,0,257700,55700,2024-11-29,2024-11-29,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000052,BA000052,CLI_0038,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,454000,528000,0,693800,124600,2020-09-03,2020-09-03,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000053,BA000053,CLI_0039,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,314000,314000,0,409400,118300,2022-08-24,2022-08-24,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,True
BA000054,BA000054,CLI_0039,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,250000,250000,0,292500,94800,2021-07-10,2021-07-10,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000055,BA000055,CLI_0039,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,270000,380000,0,439200,99200,2024-11-24,2024-11-24,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000056,BA000056,CLI_0040,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,L,593000,593000,0,828200,263400,2020-05-28,2020-05-28,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000057,BA000057,CLI_0041,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,1757000,1757000,766000,1350300,347800,2025-04-26,2025-04-26,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000058,BA000058,CLI_0042,INT_0006,WEACAP_LU,Wealins Capi Luxembourg,CAP,actif,CAP,ENC,C,453000,492000,0,507500,104300,2021-12-08,2021-12-08,,,False,False,Lux Private Office,Luxembourg,family_office,0,LOW,False
BA000059,BA000059,CLI_0042,INT_0006,PLAT_SER,Platinum Serenity,AV,actif,AV,ENC,L,433000,433000,0,498800,84600,2025-08-29,2025-08-29,,,False,True,Lux Private Office,Luxembourg,family_office,0,LOW,False
BA000060,BA000060,CLI_0043,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,L,265000,310000,0,274500,64800,2023-08-04,2023-08-04,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000061,BA000061,CLI_0044,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,343000,343000,108000,250800,61900,2023-06-20,2023-06-20,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000062,BA000062,CLI_0045,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,250000,272000,103000,197800,49300,2018-10-17,2018-10-17,,,False,True,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000063,BA000063,CLI_0046,INT_0009,WEALIFE_SE,Wealins Life Sweden,AV,actif,AV,ENC,C,540000,590000,0,626800,160500,2023-03-19,2023-03-19,,,False,False,Stockholm Capital,Sweden,courtier,0,LOW,False
BA000064,BA000064,CLI_0047,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,L,695000,752000,0,1082300,303800,2022-11-30,2022-11-30,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000065,BA000065,CLI_0048,INT_0003,WEALIFE_NO,Wealins Life Norway,AV,actif,AV,ENC,C,687000,687000,0,896400,215100,2026-02-13,2026-02-13,,,False,False,Nordic Wealth Partners,Norway,courtier,0,LOW,False
BA000066,BA000066,CLI_0048,INT_0003,WEALIFE_NO,Wealins Life Norway,AV,actif,AV,ENC,C,1623000,1623000,0,1681900,527600,2018-09-24,2018-09-24,,,False,False,Nordic Wealth Partners,Norway,courtier,0,LOW,True
BA000067,BA000067,CLI_0049,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,886000,1072000,0,1212300,248300,2022-08-11,2022-08-11,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000068,BA000068,CLI_0050,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,410000,513000,0,561100,95500,2020-04-24,2020-04-24,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000069,BA000069,CLI_0050,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,250000,283000,34000,261500,49700,2026-07-16,2026-07-16,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000070,BA000070,CLI_0050,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,306000,0,398200,136000,2026-02-24,2026-02-24,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000071,BA000071,CLI_0051,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,L,472000,713000,150000,632600,196900,2023-06-26,2023-06-26,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000072,BA000072,CLI_0052,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,SUS,C,690000,690000,0,856700,254300,2021-08-16,2021-08-16,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000073,BA000073,CLI_0053,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,462000,712000,114000,826400,246100,2020-07-13,2020-07-13,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000074,BA000074,CLI_0053,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,346000,346000,0,381400,57900,2025-11-06,2025-11-06,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000075,BA000075,CLI_0054,INT_0008,WEACAP_FI,Wealins Capitalisation Finland,CAP,actif,CAP,TER,C,1527000,1780000,206000,1661900,282800,2023-01-04,2023-01-04,,,True,True,Helsinki Wealth Advisors,Finland,courtier,0,LOW,False
BA000076,BA000076,CLI_0055,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,ENC,C,1617000,1617000,722000,906500,302700,2023-09-30,2023-09-30,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000077,BA000077,CLI_0056,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,1866000,2149000,0,2134400,649300,2021-08-10,2021-08-10,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000078,BA000078,CLI_0056,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,1676000,1676000,0,2052700,615700,2022-10-17,2022-10-17,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000079,BA000079,CLI_0056,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,1999000,1999000,0,2237700,766000,2023-10-10,2023-10-10,,,False,True,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000080,BA000080,CLI_0057,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,433000,531000,189000,443200,146000,2020-07-24,2020-07-24,,,False,True,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000081,BA000081,CLI_0058,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,306000,0,334100,77800,2026-04-23,2026-04-23,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000082,BA000082,CLI_0059,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,L,250000,250000,66000,194000,53400,2024-03-20,2024-03-20,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000083,BA000083,CLI_0059,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,250000,0,296900,89800,2024-06-15,2024-06-15,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000084,BA000084,CLI_0060,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,L,2104000,2104000,0,2928600,697300,2018-09-01,2018-09-01,,,True,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000085,BA000085,CLI_0061,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,267000,0,361400,95500,2024-07-24,2024-07-24,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000086,BA000086,CLI_0062,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,395000,434000,138000,311300,90900,2026-03-28,2026-03-28,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000087,BA000087,CLI_0063,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,L,250000,250000,0,341200,102200,2024-01-24,2024-01-24,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,True
BA000088,BA000088,CLI_0063,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,250000,250000,0,288900,63200,2023-02-25,2023-02-25,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000089,BA000089,CLI_0064,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,TER,C,435000,502000,0,727000,136100,2023-03-23,2023-03-23,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000090,BA000090,CLI_0065,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,L,1582000,1582000,445000,1061900,366400,2021-11-10,2021-11-10,,,False,True,Valoria Capital,France,courtier,0,LOW,False
BA000091,BA000091,CLI_0065,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,1222000,1818000,469000,1868100,471100,2024-07-25,2024-07-25,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000092,BA000092,CLI_0066,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,2357000,2357000,1015000,1587000,356900,2022-02-18,2022-02-18,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000093,BA000093,CLI_0067,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,SUS,L,917000,917000,0,1302900,272700,2021-08-17,2021-08-17,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000094,BA000094,CLI_0067,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,252000,298000,89000,254700,41600,2023-08-14,2023-08-14,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000095,BA000095,CLI_0068,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,TER,C,1817000,2050000,706000,1236800,423800,2021-12-03,2021-12-03,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000096,BA000096,CLI_0068,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,1199000,1441000,148000,1367200,233100,2026-03-16,2026-03-16,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000097,BA000097,CLI_0068,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,C,527000,766000,0,840700,275900,2019-04-06,2019-04-06,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000098,BA000098,CLI_0069,INT_0006,PLAT_SER,Platinum Serenity,AV,actif,AV,ENC,C,856000,856000,0,1221600,394600,2023-07-09,2023-07-09,,,False,False,Lux Private Office,Luxembourg,family_office,0,LOW,False
BA000099,BA000099,CLI_0069,INT_0006,WEALIFE_LU,Wealins Life Luxembourg,AV,actif,AV,ENC,C,1250000,1250000,0,1296600,259800,2021-10-05,2021-10-05,,,False,False,Lux Private Office,Luxembourg,family_office,0,LOW,False
BA000100,BA000100,CLI_0070,INT_0012,WEACAP_MC,Wealins Capi Monaco,CAP,actif,CAP,ENC,L,459000,459000,0,473400,165400,2023-12-10,2023-12-10,,,False,False,Monaco Patrimoine,Monaco,family_office,0,LOW,False
BA000101,BA000101,CLI_0071,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,947000,1145000,0,1383300,240000,2020-10-02,2020-10-02,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000102,BA000102,CLI_0071,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,L,654000,798000,0,940000,317800,2020-03-16,2020-03-16,,,False,False,Valoria Capital,France,courtier,0,LOW,True
BA000103,BA000103,CLI_0072,INT_0008,WEACAP_FI,Wealins Capitalisation Finland,CAP,actif,CAP,SUS,C,841000,1183000,0,1212000,380200,2022-06-17,2022-06-17,,,False,False,Helsinki Wealth Advisors,Finland,courtier,0,LOW,True
BA000104,BA000104,CLI_0073,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,L,376000,436000,0,483400,106200,2020-10-18,2020-10-18,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000105,BA000105,CLI_0074,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,2804000,2804000,0,3489500,741800,2023-11-04,2023-11-04,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000106,BA000106,CLI_0074,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,L,2743000,3957000,0,3733600,994500,2021-01-07,2021-01-07,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000107,BA000107,CLI_0075,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,250000,308000,0,420700,75400,2025-09-14,2025-09-14,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000108,BA000108,CLI_0076,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,ENC,L,866000,866000,0,883500,159900,2025-10-16,2025-10-16,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000109,BA000109,CLI_0076,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,ENC,L,1380000,1380000,235000,1021200,278200,2025-06-28,2025-06-28,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000110,BA000110,CLI_0077,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,TER,L,919000,1145000,0,1179600,264300,2024-01-11,2024-01-11,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000111,BA000111,CLI_0077,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,1026000,1368000,0,1815300,456500,2024-03-29,2024-03-29,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000112,BA000112,CLI_0078,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,356000,456000,0,418100,146000,2021-07-25,2021-07-25,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000113,BA000113,CLI_0079,INT_0010,WEALINS_DE,Wealins Germany,AV,legacy,AV,ENC,C,274000,319000,0,413000,120900,2025-06-17,2025-06-17,,,False,False,Rhine Capital Advisors,Germany,courtier,0,LOW,False
BA000114,BA000114,CLI_0080,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,TER,C,250000,288000,0,379200,131200,2021-04-03,2021-04-03,,,False,True,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
