id_role,id_contrat,id_client,code_role,libelle_role
ROLE_000033,BA000012,CLI_0009,S,Souscripteur / Preneur
ROLE_000034,BA000012,CLI_0009,A,Assuré
ROLE_000035,BA000012,CLI_0009,B,Bénéficiaire en cas de décès
ROLE_000036,BA000013,CLI_0010,S,Souscripteur / Preneur
ROLE_000037,BA000013,CLI_0010,A,Assuré
ROLE_000038,BA000013,CLI_0010,B,Bénéficiaire en cas de décès
ROLE_000039,BA000014,CLI_0011,S,Souscripteur / Preneur
ROLE_000040,BA000014,CLI_0011,A,Assuré
ROLE_000041,BA000014,CLI_0011,B,Bénéficiaire en cas de décès
ROLE_000042,BA000015,CLI_0011,S,Souscripteur / Preneur
ROLE_000043,BA000015,CLI_0011,A,Assuré
ROLE_000044,BA000015,CLI_0011,B,Bénéficiaire en cas de décès
ROLE_000045,BA000016,CLI_0012,S,Souscripteur / Preneur
ROLE_000046,BA000016,CLI_0012,A,Assuré
ROLE_000047,BA000016,CLI_0012,B,Bénéficiaire en cas de décès
ROLE_000048,BA000017,CLI_0012,S,Souscripteur / Preneur
ROLE_000049,BA000017,CLI_0012,A,Assuré
ROLE_000050,BA000017,CLI_0012,B,Bénéficiaire en cas de décès
ROLE_000051,BA000018,CLI_0013,S,Souscripteur / Preneur
ROLE_000052,BA000018,CLI_0013,A,Assuré
ROLE_000053,BA000018,CLI_0013,B,Bénéficiaire en cas de décès
ROLE_000054,BA000019,CLI_0013,S,Souscripteur / Preneur
ROLE_000055,BA000019,CLI_0013,A,Assuré
ROLE_000056,BA000019,CLI_0013,B,Bénéficiaire en cas de décès
ROLE_000057,BA000020,CLI_0013,S,Souscripteur / Preneur
ROLE_000058,BA000020,CLI_0013,A,Assuré
ROLE_000059,BA000020,CLI_0013,B,Bénéficiaire en cas de décès
ROLE_000060,BA000021,CLI_0014,S,Souscripteur / Preneur
ROLE_000061,BA000021,CLI_0014,A,Assuré
ROLE_000062,BA000021,CLI_0014,B,Bénéficiaire en cas de décès
ROLE_000063,BA000022,CLI_0014,S,Souscripteur / Preneur
ROLE_000064,BA000022,CLI_0014,B,Bénéficiaire en cas de décès
ROLE_000065,BA000023,CLI_0015,S,Souscripteur / Preneur
ROLE_000066,BA000023,CLI_0015,A,Assuré
ROLE_000067,BA000023,CLI_0015,B,Bénéficiaire en cas de décès
ROLE_000068,BA000024,CLI_0016,S,Souscripteur / Preneur
ROLE_000069,BA000024,CLI_0016,A,Assuré
ROLE_000070,BA000024,CLI_0016,B,Bénéficiaire en cas de décès
ROLE_000071,BA000025,CLI_0016,S,Souscripteur / Preneur
ROLE_000072,BA000025,CLI_0016,A,Assuré
ROLE_000073,BA000025,CLI_0016,B,Bénéficiaire en cas de décès
ROLE_000074,BA000026,CLI_0016,S,Souscripteur / Preneur
ROLE_000075,BA000026,CLI_0016,A,Assuré
ROLE_000076,BA000026,CLI_0016,B,Bénéficiaire en cas de décès
ROLE_000077,BA000027,CLI_0017,S,Souscripteur / Preneur
ROLE_000078,BA000027,CLI_0017,A,Assuré
ROLE_000079,BA000027,CLI_0017,B,Bénéficiaire en cas de décès
ROLE_000080,BA000028,CLI_0018,S,Souscripteur / Preneur
ROLE_000081,BA000028,CLI_0018,B,Bénéficiaire en cas de décès
ROLE_000082,BA000029,CLI_0019,S,Souscripteur / Preneur
ROLE_000083,BA000029,CLI_0019,A,Assuré
ROLE_000084,BA000029,CLI_0019,B,Bénéficiaire en cas de décès
ROLE_000085,BA000030,CLI_0020,S,Souscripteur / Preneur
ROLE_000086,BA000030,CLI_0020,A,Assuré
ROLE_000087,BA000030,CLI_0020,B,Bénéficiaire en cas de décès
ROLE_000088,BA000031,CLI_0021,S,Souscripteur / Preneur
ROLE_000089,BA000031,CLI_0021,B,Bénéficiaire en cas de décès
ROLE_000090,BA000032,CLI_0022,S,Souscripteur / Preneur
ROLE_000091,BA000032,CLI_0022,A,Assuré
ROLE_000092,BA000032,CLI_0022,B,Bénéficiaire en cas de décès
ROLE_000093,BA000033,CLI_0023,S,Souscripteur / Preneur
ROLE_000094,BA000033,CLI_0023,A,Assuré
ROLE_000095,BA000033,CLI_0023,B,Bénéficiaire en cas de décès
ROLE_000096,BA000034,CLI_0024,S,Souscripteur / Preneur
ROLE_000097,BA000034,CLI_0024,A,Assuré
ROLE_000098,BA000034,CLI_0024,B,Bénéficiaire en cas de décès
ROLE_000099,BA000035,CLI_0025,S,Souscripteur / Preneur
ROLE_000100,BA000035,CLI_0025,A,Assuré
ROLE_000101,BA000035,CLI_0025,B,Bénéficiaire en cas de décès
ROLE_000102,BA000036,CLI_0026,S,Souscripteur / Preneur
ROLE_000103,BA000036,CLI_0026,A,Assuré
ROLE_000104,BA000036,CLI_0026,B,Bénéficiaire en cas de décès
ROLE_000105,BA000037,CLI_0027,S,Souscripteur / Preneur
ROLE_000106,BA000037,CLI_0027,A,Assuré
ROLE_000107,BA000037,CLI_0027,B,Bénéficiaire en cas de décès
ROLE_000108,BA000038,CLI_0028,S,Souscripteur / Preneur
ROLE_000109,BA000038,CLI_0028,A,Assuré
ROLE_000110,BA000038,CLI_0028,B,Bénéficiaire en cas de décès
ROLE_000111,BA000039,CLI_0028,S,Souscripteur / Preneur
ROLE_000112,BA000039,CLI_0028,A,Assuré
ROLE_000113,BA000039,CLI_0028,B,Bénéficiaire en cas de décès
ROLE_000114,BA000040,CLI_0028,S,Souscripteur / Preneur
ROLE_000115,BA000040,CLI_0028,A,Assuré
ROLE_000116,BA000040,CLI_0028,B,Bénéficiaire en cas de décès
ROLE_000117,BA000041,CLI_0029,S,Souscripteur / Preneur
ROLE_000118,BA000041,CLI_0029,A,Assuré
ROLE_000119,BA000041,CLI_0029,B,Bénéficiaire en cas de décès
ROLE_000120,BA000042,CLI_0030,S,Souscripteur / Preneur
ROLE_000121,BA000042,CLI_0030,A,Assuré
ROLE_000122,BA000042,CLI_0030,B,Bénéficiaire en cas de décès
ROLE_000123,BA000043,CLI_0031,S,Souscripteur / Preneur
ROLE_000124,BA000043,CLI_0031,B,Bénéficiaire en cas de décès
ROLE_000125,BA000044,CLI_0032,S,Souscripteur / Preneur
ROLE_000126,BA000044,CLI_0032,A,Assuré
ROLE_000127,BA000044,CLI_0032,B,Bénéficiaire en cas de décès
ROLE_000128,BA000045,CLI_0033,S,Souscripteur / Preneur
ROLE_000129,BA000045,CLI_0033,B,Bénéficiaire en cas de décès
ROLE_000130,BA000046,CLI_0033,S,Souscripteur / Preneur
ROLE_000131,BA000046,CLI_0033,A,Assuré
ROLE_000132,BA000046,CLI_0033,B,Bénéficiaire en cas de décès
ROLE_000133,BA000047,CLI_0034,S,Souscripteur / Preneur
ROLE_000134,BA000047,CLI_0034,A,Assuré
ROLE_000135,BA000047,CLI_0034,B,Bénéficiaire en cas de décès
ROLE_000136,BA000048,CLI_0034,S,Souscripteur / Preneur
ROLE_000137,BA000048,CLI_0034,A,Assuré
ROLE_000138,BA000048,CLI_0034,B,Bénéficiaire en cas de décès
ROLE_000139,BA000049,CLI_0035,S,Souscripteur / Preneur
ROLE_000140,BA000049,CLI_0035,A,Assuré
ROLE_000141,BA000049,CLI_0035,B,Bénéficiaire en cas de décès
ROLE_000142,BA000050,CLI_0036,S,Souscripteur / Preneur
ROLE_000143,BA000050,CLI_0036,A,Assuré
ROLE_000144,BA000050,CLI_0036,B,Bénéficiaire en cas de décès
ROLE_000145,BA000051,CLI_0037,S,Souscripteur / Preneur
ROLE_000146,BA000051,CLI_0037,B,Bénéficiaire en cas de décès
ROLE_000147,BA000052,CLI_0038,S,Souscripteur / Preneur
ROLE_000148,BA000052,CLI_0038,A,Assuré
ROLE_000149,BA000052,CLI_0038,B,Bénéficiaire en cas de décès
ROLE_000150,BA000053,CLI_0039,S,Souscripteur / Preneur
ROLE_000151,BA000053,CLI_0039,B,Bénéficiaire en cas de décès
ROLE_000152,BA000054,CLI_0039,S,Souscripteur / Preneur
ROLE_000153,BA000054,CLI_0039,B,Bénéficiaire en cas de décès
ROLE_000154,BA000055,CLI_0039,S,Souscripteur / Preneur
ROLE_000155,BA000055,CLI_0039,A,Assuré
ROLE_000156,BA000055,CLI_0039,B,Bénéficiaire en cas de décès
ROLE_000157,BA000056,CLI_0040,S,Souscripteur / Preneur
ROLE_000158,BA000056,CLI_0040,A,Assuré
ROLE_000159,BA000056,CLI_0040,B,Bénéficiaire en cas de décès
ROLE_000160,BA000057,CLI_0041,S,Souscripteur / Preneur
ROLE_000161,BA000057,CLI_0041,A,Assuré
ROLE_000162,BA000057,CLI_0041,B,Bénéficiaire en cas de décès
ROLE_000163,BA000058,CLI_0042,S,Souscripteur / Preneur
ROLE_000164,BA000058,CLI_0042,B,Bénéficiaire en cas de décès
ROLE_000165,BA000059,CLI_0042,S,Souscripteur / Preneur
ROLE_000166,BA000059,CLI_0042,A,Assuré
ROLE_000167,BA000059,CLI_0042,B,Bénéficiaire en cas de décès
ROLE_000168,BA000060,CLI_0043,S,Souscripteur / Preneur
ROLE_000169,BA000060,CLI_0043,A,Assuré
ROLE_000170,BA000060,CLI_0043,B,Bénéficiaire en cas de décès
ROLE_000171,BA000061,CLI_0044,S,Souscripteur / Preneur
ROLE_000172,BA000061,CLI_0044,A,Assuré
ROLE_000173,BA000061,CLI_0044,B,Bénéficiaire en cas de décès
ROLE_000174,BA000062,CLI_0045,S,Souscripteur / Preneur
ROLE_000175,BA000062,CLI_0045,A,Assuré
ROLE_000176,BA000062,CLI_0045,B,Bénéficiaire en cas de décès
ROLE_000177,BA000063,CLI_0046,S,Souscripteur / Preneur
ROLE_000178,BA000063,CLI_0046,A,Assuré
ROLE_000179,BA000063,CLI_0046,B,Bénéficiaire en cas de décès
ROLE_000180,BA000064,CLI_0047,S,Souscripteur / Preneur
ROLE_000181,BA000064,CLI_0047,A,Assuré
ROLE_000182,BA000064,CLI_0047,B,Bénéficiaire en cas de décès
ROLE_000183,BA000065,CLI_0048,S,Souscripteur / Preneur
ROLE_000184,BA000065,CLI_0048,A,Assuré
ROLE_000185,BA000065,CLI_0048,B,Bénéficiaire en cas de décès
ROLE_000186,BA000066,CLI_0048,S,Souscripteur / Preneur
ROLE_000187,BA000066,CLI_0048,B,Bénéficiaire en cas de décès
ROLE_000188,BA000067,CLI_0049,S,Souscripteur / Preneur
ROLE_000189,BA000067,CLI_0049,A,Assuré
ROLE_000190,BA000067,CLI_0049,B,Bénéficiaire en cas de décès
ROLE_000191,BA000068,CLI_0050,S,Souscripteur / Preneur
ROLE_000192,BA000068,CLI_0050,A,Assuré
ROLE_000193,BA000068,CLI_0050,B,Bénéficiaire en cas de décès
ROLE_000194,BA000069,CLI_0050,S,Souscripteur / Preneur
ROLE_000195,BA000069,CLI_0050,A,Assuré
ROLE_000196,BA000069,CLI_0050,B,Bénéficiaire en cas de décès
ROLE_000197,BA000070,CLI_0050,S,Souscripteur / Preneur
ROLE_000198,BA000070,CLI_0050,A,Assuré
ROLE_000199,BA000070,CLI_0050,B,Bénéficiaire en cas de décès
ROLE_000200,BA000071,CLI_0051,S,Souscripteur / Preneur
ROLE_000201,BA000071,CLI_0051,A,Assuré
ROLE_000202,BA000071,CLI_0051,B,Bénéficiaire en cas de décès
ROLE_000203,BA000072,CLI_0052,S,Souscripteur / Preneur
ROLE_000204,BA000072,CLI_0052,A,Assuré
ROLE_000205,BA000072,CLI_0052,B,Bénéficiaire en cas de décès
ROLE_000206,BA000073,CLI_0053,S,Souscripteur / Preneur
ROLE_000207,BA000073,CLI_0053,A,Assuré
ROLE_000208,BA000073,CLI_0053,B,Bénéficiaire en cas de décès
ROLE_000209,BA000074,CLI_0053,S,Souscripteur / Preneur
ROLE_000210,BA000074,CLI_0053,A,Assuré
ROLE_000211,BA000074,CLI_0053,B,Bénéficiaire en cas de décès
ROLE_000212,BA000075,CLI_0054,S,Souscripteur / Preneur
ROLE_000213,BA000075,CLI_0054,A,Assuré
ROLE_000214,BA000075,CLI_0054,B,Bénéficiaire en cas de décès
ROLE_000215,BA000076,CLI_0055,S,Souscripteur / Preneur
ROLE_000216,BA000076,CLI_0055,A,Assuré
ROLE_000217,BA000076,CLI_0055,B,Bénéficiaire en cas de décès
ROLE_000218,BA000077,CLI_0056,S,Souscripteur / Preneur
ROLE_000219,BA000077,CLI_0056,A,Assuré
ROLE_000220,BA000077,CLI_0056,B,Bénéficiaire en cas de décès
ROLE_000221,BA000078,CLI_0056,S,Souscripteur / Preneur
ROLE_000222,BA000078,CLI_0056,A,Assuré
ROLE_000223,BA000078,CLI_0056,B,Bénéficiaire en cas de décès
ROLE_000224,BA000079,CLI_0056,S,Souscripteur / Preneur
ROLE_000225,BA000079,CLI_0056,A,Assuré
ROLE_000226,BA000079,CLI_0056,B,Bénéficiaire en cas de décès
ROLE_000227,BA000080,CLI_0057,S,Souscripteur / Preneur
ROLE_000228,BA000080,CLI_0057,A,Assuré
ROLE_000229,BA000080,CLI_0057,B,Bénéficiaire en cas de décès
ROLE_000230,BA000081,CLI_0058,S,Souscripteur / Preneur
ROLE_000231,BA000081,CLI_0058,A,Assuré
ROLE_000232,BA000081,CLI_0058,B,Bénéficiaire en cas de décès
ROLE_000233,BA000082,CLI_0059,S,Souscripteur / Preneur
ROLE_000234,BA000082,CLI_0059,A,Assuré
ROLE_000235,BA000082,CLI_0059,B,Bénéficiaire en cas de décès
ROLE_000236,BA000083,CLI_0059,S,Souscripteur / Preneur
ROLE_000237,BA000083,CLI_0059,A,Assuré
ROLE_000238,BA000083,CLI_0059,B,Bénéficiaire en cas de décès
ROLE_000239,BA000084,CLI_0060,S,Souscripteur / Preneur
ROLE_000240,BA000084,CLI_0060,A,Assuré
ROLE_000241,BA000084,CLI_0060,B,Bénéficiaire en cas de décès
ROLE_000242,BA000085,CLI_0061,S,Souscripteur / Preneur
ROLE_000243,BA000085,CLI_0061,A,Assuré
ROLE_000244,BA000085,CLI_0061,B,Bénéficiaire en cas de décès
ROLE_000245,BA000085,CLI_0061,UBO,Bénéficiaire effectif
ROLE_000246,BA000086,CLI_0062,S,Souscripteur / Preneur
ROLE_000247,BA000086,CLI_0062,A,Assuré
ROLE_000248,BA000086,CLI_0062,B,Bénéficiaire en cas de décès
ROLE_000249,BA000087,CLI_0063,S,Souscripteur / Preneur
ROLE_000250,BA000087,CLI_0063,A,Assuré
ROLE_000251,BA000087,CLI_0063,B,Bénéficiaire en cas de décès
ROLE_000252,BA000088,CLI_0063,S,Souscripteur / Preneur
ROLE_000253,BA000088,CLI_0063,A,Assuré
ROLE_000254,BA000088,CLI_0063,B,Bénéficiaire en cas de décès
ROLE_000255,BA000089,CLI_0064,S,Souscripteur / Preneur
ROLE_000256,BA000089,CLI_0064,A,Assuré
ROLE_000257,BA000089,CLI_0064,B,Bénéficiaire en cas de décès
ROLE_000258,BA000090,CLI_0065,S,Souscripteur / Preneur
ROLE_000259,BA000090,CLI_0065,A,Assuré
ROLE_000260,BA000090,CLI_0065,B,Bénéficiaire en cas de décès
ROLE_000261,BA000091,CLI_0065,S,Souscripteur / Preneur
ROLE_000262,BA000091,CLI_0065,A,Assuré
ROLE_000263,BA000091,CLI_0065,B,Bénéficiaire en cas de décès
ROLE_000264,BA000092,CLI_0066,S,Souscripteur / Preneur
ROLE_000265,BA000092,CLI_0066,A,Assuré
ROLE_000266,BA000092,CLI_0066,B,Bénéficiaire en cas de décès
ROLE_000267,BA000093,CLI_0067,S,Souscripteur / Preneur
ROLE_000268,BA000093,CLI_0067,A,Assuré
ROLE_000269,BA000093,CLI_0067,B,Bénéficiaire en cas de décès
ROLE_000270,BA000094,CLI_0067,S,Souscripteur / Preneur
ROLE_000271,BA000094,CLI_0067,A,Assuré
ROLE_000272,BA000094,CLI_0067,B,Bénéficiaire en cas de décès
ROLE_000273,BA000095,CLI_0068,S,Souscripteur / Preneur
ROLE_000274,BA000095,CLI_0068,A,Assuré
ROLE_000275,BA000095,CLI_0068,B,Bénéficiaire en cas de décès
ROLE_000276,BA000096,CLI_0068,S,Souscripteur / Preneur
ROLE_000277,BA000096,CLI_0068,A,Assuré
ROLE_000278,BA000096,CLI_0068,B,Bénéficiaire en cas de décès
ROLE_000279,BA000097,CLI_0068,S,Souscripteur / Preneur
ROLE_000280,BA000097,CLI_0068,A,Assuré
ROLE_000281,BA000097,CLI_0068,B,Bénéficiaire en cas de décès
ROLE_000282,BA000098,CLI_0069,S,Souscripteur / Preneur
ROLE_000283,BA000098,CLI_0069,A,Assuré
ROLE_000284,BA000098,CLI_0069,B,Bénéficiaire en cas de décès
ROLE_000285,BA000099,CLI_0069,S,Souscripteur / Preneur
ROLE_000286,BA000099,CLI_0069,A,Assuré
ROLE_000287,BA000099,CLI_0069,B,Bénéficiaire en cas de décès
ROLE_000288,BA000100,CLI_0070,S,Souscripteur / Preneur
ROLE_000289,BA000100,CLI_0070,B,Bénéficiaire en cas de décès
ROLE_000290,BA000101,CLI_0071,S,Souscripteur / Preneur
ROLE_000291,BA000101,CLI_0071,A,Assuré
ROLE_000292,BA000101,CLI_0071,B,Bénéficiaire en cas de décès
ROLE_000293,BA000102,CLI_0071,S,Souscripteur / Preneur
ROLE_000294,BA000102,CLI_0071,A,Assuré
ROLE_000295,BA000102,CLI_0071,B,Bénéficiaire en cas de décès
ROLE_000296,BA000103,CLI_0072,S,Souscripteur / Preneur
ROLE_000297,BA000103,CLI_0072,A,Assuré
ROLE_000298,BA000103,CLI_0072,B,Bénéficiaire en cas de décès
ROLE_000299,BA000104,CLI_0073,S,Souscripteur / Preneur
ROLE_000300,BA000104,CLI_0073,A,Assuré
ROLE_000301,BA000104,CLI_0073,B,Bénéficiaire en cas de décès
ROLE_000302,BA000105,CLI_0074,S,Souscripteur / Preneur
ROLE_000303,BA000105,CLI_0074,A,Assuré
ROLE_000304,BA000105,CLI_0074,B,Bénéficiaire en cas de décès
ROLE_000305,BA000106,CLI_0074,S,Souscripteur / Preneur
ROLE_000306,BA000106,CLI_0074,A,Assuré
ROLE_000307,BA000106,CLI_0074,B,Bénéficiaire en cas de décès
ROLE_000308,BA000107,CLI_0075,S,Souscripteur / Preneur
ROLE_000309,BA000107,CLI_0075,A,Assuré
ROLE_000310,BA000107,CLI_0075,B,Bénéficiaire en cas de décès
ROLE_000311,BA000108,CLI_0076,S,Souscripteur / Preneur
ROLE_000312,BA000108,CLI_0076,A,Assuré
ROLE_000313,BA000108,CLI_0076,B,Bénéficiaire en cas de décès
ROLE_000314,BA000109,CLI_0076,S,Souscripteur / Preneur
ROLE_000315,BA000109,CLI_0076,A,Assuré
ROLE_000316,BA000109,CLI_0076,B,Bénéficiaire en cas de décès
ROLE_000317,BA000110,CLI_0077,S,Souscripteur / Preneur
ROLE_000318,BA000110,CLI_0077,A,Assuré
ROLE_000319,BA000110,CLI_0077,B,Bénéficiaire en cas de décès
ROLE_000320,BA000111,CLI_0077,S,Souscripteur / Preneur
ROLE_000321,BA000111,CLI_0077,A,Assuré
ROLE_000322,BA000111,CLI_0077,B,Bénéficiaire en cas de décès
ROLE_000323,BA000112,CLI_0078,S,Souscripteur / Preneur
ROLE_000324,BA000112,CLI_0078,A,Assuré
ROLE_000325,BA000112,CLI_0078,B,Bénéficiaire en cas de décès
ROLE_000326,BA000113,CLI_0079,S,Souscripteur / Preneur
ROLE_000327,BA000113,CLI_0079,A,Assuré
ROLE_000328,BA000113,CLI_0079,B,Bénéficiaire en cas de décès
ROLE_000329,BA000114,CLI_0080,S,Souscripteur / Preneur
ROLE_000330,BA000114,CLI_0080,A,Assuré
ROLE_000331,BA000114,CLI_0080,B,Bénéficiaire en cas de décès
ROLE_000332,BA000115,CLI_0081,S,Souscripteur / Preneur
ROLE_000333,BA000115,CLI_0081,A,Assuré
ROLE_000334,BA000115,CLI_0081,B,Bénéficiaire en cas de décès
ROLE_000335,BA000116,CLI_0082,S,Souscripteur / Preneur
ROLE_000336,BA000116,CLI_0082,A,Assuré
ROLE_000337,BA000116,CLI_0082,B,Bénéficiaire en cas de décès
ROLE_000338,BA000117,CLI_0082,S,Souscripteur / Preneur
ROLE_000339,BA000117,CLI_0082,B,Bénéficiaire en cas de décès
ROLE_000340,BA000118,CLI_0082,S,Souscripteur / Preneur
ROLE_000341,BA000118,CLI_0082,A,Assuré
ROLE_000342,BA000118,CLI_0082,B,Bénéficiaire en cas de décès
ROLE_000343,BA000119,CLI_0083,S,Souscripteur / Preneur
ROLE_000344,BA000119,CLI_0083,A,Assuré
ROLE_000345,BA000119,CLI_0083,B,Bénéficiaire en cas de décès
ROLE_000346,BA000120,CLI_0084,S,Souscripteur / Preneur
ROLE_000347,BA000120,CLI_0084,A,Assuré
ROLE_000348,BA000120,CLI_0084,B,Bénéficiaire en cas de décès
ROLE_000349,BA000121,CLI_0085,S,Souscripteur / Preneur
ROLE_000350,BA000121,CLI_0085,A,Assuré
ROLE_000351,BA000121,CLI_0085,B,Bénéficiaire en cas de décès
ROLE_000352,BA000122,CLI_0086,S,Souscripteur / Preneur
ROLE_000353,BA000122,CLI_0086,A,Assuré
ROLE_000354,BA000122,CLI_0086,B,Bénéficiaire en cas de décès
ROLE_000355,BA000123,CLI_0086,S,Souscripteur / Preneur
ROLE_000356,BA000123,CLI_0086,B,Bénéficiaire en cas de décès
ROLE_000357,BA000124,CLI_0087,S,Souscripteur / Preneur
ROLE_000358,BA000124,CLI_0087,A,Assuré
ROLE_000359,BA000124,CLI_0087,B,Bénéficiaire en cas de décès
ROLE_000360,BA000125,CLI_0087,S,Souscripteur / Preneur
ROLE_000361,BA000125,CLI_0087,B,Bénéficiaire en cas de décès
ROLE_000362,BA000126,CLI_0088,S,Souscripteur / Preneur
ROLE_000363,BA000126,CLI_0088,A,Assuré
ROLE_000364,BA000126,CLI_0088,B,Bénéficiaire en cas de décès
ROLE_000365,BA000127,CLI_0089,S,Souscripteur / Preneur
ROLE_000366,BA000127,CLI_0089,A,Assuré
ROLE_000367,BA000127,CLI_0089,B,Bénéficiaire en cas de décès
ROLE_000368,BA000128,CLI_0090,S,Souscripteur / Preneur
ROLE_000369,BA000128,CLI_0090,A,Assuré
ROLE_000370,BA000128,CLI_0090,B,Bénéficiaire en cas de décès
ROLE_000371,BA000129,CLI_0090,S,Souscripteur / Preneur
ROLE_000372,BA000129,CLI_0090,A,Assuré
ROLE_000373,BA000129,CLI_0090,B,Bénéficiaire en cas de décès
ROLE_000374,BA000130,CLI_0091,S,Souscripteur / Preneur
ROLE_000375,BA000130,CLI_0091,A,Assuré
ROLE_000376,BA000130,CLI_0091,B,Bénéficiaire en cas de décès
ROLE_000377,BA000131,CLI_0091,S,Souscripteur / Preneur
ROLE_000378,BA000131,CLI_0091,B,Bénéficiaire en cas de décès
ROLE_000379,BA000132,CLI_0092,S,Souscripteur / Preneur
ROLE_000380,BA000132,CLI_0092,A,Assuré
ROLE_000381,BA000132,CLI_0092,B,Bénéficiaire en cas de décès
ROLE_000382,BA000133,CLI_0093,S,Souscripteur / Preneur
ROLE_000383,BA000133,CLI_0093,A,Assuré
ROLE_000384,BA000133,CLI_0093,B,Bénéficiaire en cas de décès
ROLE_000385,BA000134,CLI_0093,S,Souscripteur / Preneur
ROLE_000386,BA000134,CLI_0093,A,Assuré
ROLE_000387,BA000134,CLI_0093,B,Bénéficiaire en cas de décès
ROLE_000388,BA000135,CLI_0093,S,Souscripteur / Preneur
ROLE_000389,BA000135,CLI_0093,A,Assuré
ROLE_000390,BA000135,CLI_0093,B,Bénéficiaire en cas de décès
ROLE_000391,BA000136,CLI_0094,S,Souscripteur / Preneur
ROLE_000392,BA000136,CLI_0094,B,Bénéficiaire en cas de décès
ROLE_000393,BA000136,CLI_0094,UBO,Bénéficiaire effectif
ROLE_000394,BA000137,CLI_0095,S,Souscripteur / Preneur
ROLE_000395,BA000137,CLI_0095,A,Assuré
ROLE_000396,BA000137,CLI_0095,B,Bénéficiaire en cas de décès
ROLE_000397,BA000138,CLI_0095,S,Souscripteur / Preneur
ROLE_000398,BA000138,CLI_0095,A,Assuré
ROLE_000399,BA000138,CLI_0095,B,Bénéficiaire en cas de décès
ROLE_000400,BA000139,CLI_0096,S,Souscripteur / Preneur
ROLE_000401,BA000139,CLI_0096,A,Assuré
ROLE_000402,BA000139,CLI_0096,B,Bénéficiaire en cas de décès
ROLE_000403,BA000140,CLI_0097,S,Souscripteur / Preneur
ROLE_000404,BA000140,CLI_0097,A,Assuré
ROLE_000405,BA000140,CLI_0097,B,Bénéficiaire en cas de décès
ROLE_000406,BA000141,CLI_0098,S,Souscripteur / Preneur
ROLE_000407,BA000141,CLI_0098,A,Assuré
ROLE_000408,BA000141,CLI_0098,B,Bénéficiaire en cas de décès
ROLE_000409,BA000142,CLI_0098,S,Souscripteur / Preneur
ROLE_000410,BA000142,CLI_0098,A,Assuré
ROLE_000411,BA000142,CLI_0098,B,Bénéficiaire en cas de décès
ROLE_000412,BA000143,CLI_0099,S,Souscripteur / Preneur
ROLE_000413,BA000143,CLI_0099,A,Assuré
ROLE_000414,BA000143,CLI_0099,B,Bénéficiaire en cas de décès
ROLE_000415,BA000144,CLI_0100,S,Souscripteur / Preneur
ROLE_000416,BA000144,CLI_0100,A,Assuré
ROLE_000417,BA000144,CLI_0100,B,Bénéficiaire en cas de décès
ROLE_000418,BA000145,CLI_0100,S,Souscripteur / Preneur
ROLE_000419,BA000145,CLI_0100,A,Assuré
ROLE_000420,BA000145,CLI_0100,B,Bénéficiaire en cas de décès
ROLE_000421,BA000146,CLI_0101,S,Souscripteur / Preneur
ROLE_000422,BA000146,CLI_0101,A,Assuré
ROLE_000423,BA000146,CLI_0101,B,Bénéficiaire en cas de décès
