id_support,ref_support,id_contrat,code_isin,designation,type_fonds,juridiction,risque_juridiction,liquidite,est_offshore,montant_euro,nombre_parts,valeur_cotation_euro,poids_pct,flag_mandat_gestion,date_valorisation
SUP_000013,FID_UBS,BA000007,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,293800,2683.68,109.476414,100.0,True,2026-08-02
SUP_000014,FID_BNP,BA000008,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,124200,850.33,146.061111,41.93,True,2026-07-10
SUP_000015,XS2428662824,BA000008,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,6100,61.86,98.602426,2.08,True,2026-07-25
SUP_000016,FR0010923383,BA000008,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,165800,1542.29,107.502638,55.99,True,2026-07-16
SUP_000017,FID_UBS,BA000009,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,202400,1873.68,108.022731,31.82,True,2026-07-19
SUP_000018,LU0104884860,BA000009,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,433900,4964.79,87.395441,68.18,True,2026-07-27
SUP_000019,FAS_ROT,BA000010,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,714200,5938.99,120.256119,100.0,True,2026-07-22
SUP_000020,FID_UBS,BA000011,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,1219900,11608.75,105.084518,57.99,True,2026-07-31
SUP_000021,FR0010392225,BA000011,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,883800,8738.93,101.133676,42.01,True,2026-07-21
SUP_000022,FID_UBS,BA000012,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,499700,5113.89,97.714292,93.92,True,2026-08-05
SUP_000023,FR0010392225,BA000012,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,32300,377.5,85.562982,6.08,True,2026-07-25
SUP_000024,FR001400OJI4,BA000013,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,86100,663.36,129.793749,17.99,False,2026-07-07
SUP_000025,XS2428662824,BA000013,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,392300,3036.06,129.213328,82.01,False,2026-08-03
SUP_000026,FID_UBS,BA000014,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,23400,265.07,88.278392,7.02,True,2026-07-29
SUP_000027,FR001400OJI4,BA000014,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,276500,2724.56,101.484101,82.98,True,2026-07-26
SUP_000028,FR0010923383,BA000014,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,33300,230.9,144.220304,10.0,True,2026-07-19
SUP_000029,PE_LUX_01,BA000015,PE_LUX_01,Luxembourg PE SICAR,PE,Luxembourg,FAIBLE,très faible,False,377100,4114.7,91.647015,85.89,False,2026-07-13
SUP_000030,LU0104884860,BA000015,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,41600,314.21,132.396101,9.47,False,2026-07-07
SUP_000031,FR001400OJI4,BA000015,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,20400,250.15,81.549469,4.64,False,2026-07-10
SUP_000032,FR0010392225,BA000016,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,179100,1442.71,124.141479,100.0,False,2026-07-31
SUP_000033,FID_UBS,BA000017,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,357500,3645.2,98.074306,100.0,True,2026-07-23
SUP_000034,FID_BNP,BA000018,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,546900,5131.15,106.584239,45.97,True,2026-07-22
SUP_000035,LU0255977539,BA000018,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,642800,4843.49,132.714171,54.03,True,2026-07-12
SUP_000036,FAS_ROT,BA000019,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,209300,1874.69,111.645392,17.79,True,2026-08-04
SUP_000037,LU0255977539,BA000019,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,42700,286.18,149.204704,3.63,True,2026-07-30
SUP_000038,FR0010923383,BA000019,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,924000,6769.88,136.486835,78.57,True,2026-08-02
SUP_000039,PE_LUX_01,BA000020,PE_LUX_01,Luxembourg PE SICAR,PE,Luxembourg,FAIBLE,très faible,False,865400,6794.59,127.366098,100.0,False,2026-07-22
SUP_000040,FID_UBS,BA000021,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,226800,1627.77,139.331971,82.52,True,2026-07-14
SUP_000041,FR0010392225,BA000021,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,48100,459.0,104.792062,17.48,True,2026-08-03
SUP_000042,FID_BNP,BA000022,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,413000,4294.89,96.160715,93.83,True,2026-07-31
SUP_000043,LU0104884860,BA000022,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,27100,336.7,80.48617,6.17,True,2026-07-19
SUP_000044,FID_BNP,BA000023,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,342300,3141.62,108.956366,100.0,True,2026-07-09
SUP_000045,FID_UBS,BA000024,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,21400,201.23,106.348508,7.02,True,2026-07-14
SUP_000046,LU0255977539,BA000024,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,44500,367.49,121.093147,14.63,True,2026-07-29
SUP_000047,LU0255977539,BA000024,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,145400,1013.26,143.496797,47.75,True,2026-07-10
SUP_000048,FR001400OJI4,BA000024,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,93200,727.62,128.089231,30.6,True,2026-07-16
SUP_000049,FID_BNP,BA000025,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,117300,794.64,147.613373,71.01,True,2026-07-27
SUP_000050,XS2428662824,BA000025,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,47900,430.94,111.151452,28.99,True,2026-07-20
SUP_000051,FID_UBS,BA000026,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,27800,236.69,117.455551,8.04,True,2026-07-21
SUP_000052,FR001400OJI4,BA000026,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,30400,241.14,126.068414,8.78,True,2026-07-11
SUP_000053,LU0255977539,BA000026,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,288200,2040.6,141.232782,83.18,True,2026-07-15
SUP_000054,FR0010392225,BA000027,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,3300,27.28,120.983388,1.17,False,2026-07-10
SUP_000055,XS2428662824,BA000027,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,163100,1662.51,98.104643,57.64,False,2026-07-21
SUP_000056,FR0010923383,BA000027,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,69900,519.08,134.662472,24.69,False,2026-07-21
SUP_000057,PE_LUX_01,BA000027,PE_LUX_01,Luxembourg PE SICAR,PE,Luxembourg,FAIBLE,très faible,False,46700,381.79,122.319153,16.49,False,2026-08-02
SUP_000058,FID_BNP,BA000028,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,323200,2252.55,143.481872,100.0,True,2026-07-26
SUP_000059,FID_UBS,BA000029,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,280700,3010.89,93.228313,100.0,True,2026-07-10
SUP_000060,PE_CAY_01,BA000030,PE_CAY_01,Cayman Growth Fund I,PE,Cayman Islands,ELEVE,très faible,True,243700,1665.72,146.303415,41.97,False,2026-07-15
SUP_000061,PE_CAY_01,BA000030,PE_CAY_01,Cayman Growth Fund I,PE,Cayman Islands,ELEVE,très faible,True,272300,2811.9,96.838366,46.9,False,2026-07-19
SUP_000062,PE_CAY_01,BA000030,PE_CAY_01,Cayman Growth Fund I,PE,Cayman Islands,ELEVE,très faible,True,64600,471.06,137.137254,11.12,False,2026-07-19
SUP_000063,FID_BNP,BA000031,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,550500,3903.91,141.012357,26.53,True,2026-07-10
SUP_000064,LU0255977539,BA000031,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,1524300,10349.35,147.284554,73.47,True,2026-08-01
SUP_000065,LU0104884860,BA000032,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,370100,3243.9,114.090993,66.76,False,2026-07-30
SUP_000066,XS2428662824,BA000032,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,36000,300.18,119.928873,6.49,False,2026-07-17
SUP_000067,LU0255977539,BA000032,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,148300,1141.85,129.876973,26.75,False,2026-08-01
SUP_000068,FAS_IND,BA000033,FAS_IND,Indosuez Wealth Management FAS,FAS,Luxembourg,FAIBLE,moyenne,False,220800,2178.77,101.341665,43.05,True,2026-07-25
SUP_000069,LU0104884860,BA000033,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,292200,3152.55,92.686966,56.95,True,2026-07-31
SUP_000070,FID_UBS,BA000034,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,11500,104.6,109.942274,3.53,True,2026-07-13
SUP_000071,FR001400OJI4,BA000034,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,102100,990.77,103.051216,31.5,True,2026-07-28
SUP_000072,XS2428662824,BA000034,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,194600,2170.1,89.673172,60.01,True,2026-07-19
SUP_000073,FR0010923383,BA000034,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,16100,187.39,85.918046,4.96,True,2026-07-27
SUP_000074,XS2428662824,BA000035,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,35900,278.57,128.871465,7.09,False,2026-07-23
SUP_000075,PE_CAY_01,BA000035,PE_CAY_01,Cayman Growth Fund I,PE,Cayman Islands,ELEVE,très faible,True,470600,4492.13,104.760987,92.91,False,2026-07-25
SUP_000076,FID_BNP,BA000036,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,47300,411.18,115.034282,9.39,True,2026-07-14
SUP_000077,LU0255977539,BA000036,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,456800,3092.63,147.706037,90.61,True,2026-07-20
SUP_000078,PE_LUX_01,BA000037,PE_LUX_01,Luxembourg PE SICAR,PE,Luxembourg,FAIBLE,très faible,False,765600,5801.14,131.974015,100.0,False,2026-07-16
SUP_000079,FAS_ROT,BA000038,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,28900,306.38,94.328557,7.8,True,2026-07-09
SUP_000080,LU0104884860,BA000038,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,208400,2054.77,101.422308,56.17,True,2026-07-25
SUP_000081,XS2428662824,BA000038,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,60000,497.52,120.597081,16.18,True,2026-07-25
SUP_000082,FR0010923383,BA000038,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,73700,546.65,134.820914,19.85,True,2026-07-24
SUP_000083,FID_UBS,BA000039,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,75900,787.37,96.396443,33.12,True,2026-07-15
SUP_000084,LU0255977539,BA000039,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,153200,1204.49,127.191053,66.88,True,2026-07-18
SUP_000085,FID_BNP,BA000040,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,12300,89.37,137.631847,4.29,True,2026-07-25
SUP_000086,FR001400OJI4,BA000040,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,34300,313.02,109.579382,11.92,True,2026-08-04
SUP_000087,LU0255977539,BA000040,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,241100,1678.25,143.661278,83.79,True,2026-07-10
SUP_000088,FID_BNP,BA000041,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,80500,628.52,128.079609,21.83,True,2026-08-04
SUP_000089,LU0104884860,BA000041,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,288100,2253.49,127.846121,78.17,True,2026-07-24
SUP_000090,FID_UBS,BA000042,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,299300,3699.94,80.893145,100.0,True,2026-07-19
SUP_000091,FAS_ROT,BA000043,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,606300,4743.53,127.816166,91.37,True,2026-07-30
SUP_000092,LU0255977539,BA000043,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,57300,463.56,123.607374,8.63,True,2026-08-04
SUP_000093,FR0010392225,BA000044,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,2037400,23901.24,85.242455,85.27,False,2026-07-29
SUP_000094,FR0010923383,BA000044,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,352000,2672.93,131.690517,14.73,False,2026-07-17
SUP_000095,FID_UBS,BA000045,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,279600,1864.81,149.93515,100.0,True,2026-07-15
SUP_000096,FID_BNP,BA000046,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,11000,85.32,128.919561,5.43,True,2026-07-21
SUP_000097,FR001400OJI4,BA000046,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,26900,192.52,139.723113,13.22,True,2026-07-24
SUP_000098,FR0010392225,BA000046,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,106000,1150.16,92.161116,52.14,True,2026-07-16
SUP_000099,LU0104884860,BA000046,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,59400,459.07,129.392976,29.21,True,2026-07-25
SUP_000100,PE_LUX_01,BA000047,PE_LUX_01,Luxembourg PE SICAR,PE,Luxembourg,FAIBLE,très faible,False,283900,2184.61,129.954311,75.8,False,2026-07-18
SUP_000101,LU0255977539,BA000047,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,90600,675.26,134.170788,24.2,False,2026-07-12
SUP_000102,FAS_ROT,BA000048,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,46300,371.01,124.793472,11.56,True,2026-07-23
SUP_000103,FR001400OJI4,BA000048,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,155600,1366.86,113.837527,38.82,True,2026-07-13
SUP_000104,LU0255977539,BA000048,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,198800,1562.71,127.215205,49.61,True,2026-07-28
SUP_000105,FID_BNP,BA000049,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,70500,616.06,114.435989,45.29,True,2026-08-04
SUP_000106,FR0010923383,BA000049,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,70700,472.76,149.548251,45.46,True,2026-08-04
SUP_000107,XS2428662824,BA000049,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,14400,162.29,88.728605,9.26,True,2026-07-25
SUP_000108,FAS_ROT,BA000050,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,341800,3135.24,109.01892,100.0,True,2026-07-18
SUP_000109,FID_UBS,BA000051,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,257700,2302.04,111.944129,100.0,True,2026-08-01
SUP_000110,FID_UBS,BA000052,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,178400,1716.78,103.915595,25.72,True,2026-08-01
SUP_000111,LU0104884860,BA000052,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,515400,4322.89,119.225734,74.28,True,2026-08-04
SUP_000112,FID_BNP,BA000053,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,147500,1049.29,140.571326,36.04,True,2026-07-22
SUP_000113,LU0104884860,BA000053,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,79300,538.69,147.209374,19.37,True,2026-07-23
SUP_000114,FR001400OJI4,BA000053,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,182600,1240.62,147.185013,44.59,True,2026-07-26
SUP_000115,FID_BNP,BA000054,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,193100,1942.04,99.431666,66.01,True,2026-08-03
SUP_000116,FR001400OJI4,BA000054,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,99400,684.27,145.265198,33.99,True,2026-07-28
SUP_000117,FID_BNP,BA000055,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,35500,237.91,149.219185,8.08,True,2026-07-31
SUP_000118,FR001400OJI4,BA000055,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,6600,74.7,88.348219,1.51,True,2026-07-16
SUP_000119,LU0104884860,BA000055,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,85500,846.13,101.048774,19.48,True,2026-07-07
SUP_000120,LU0104884860,BA000055,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,311500,2881.78,108.093013,70.93,True,2026-08-04
SUP_000121,XS2428662824,BA000056,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,828200,9661.6,85.720812,100.0,False,2026-07-24
SUP_000122,FID_BNP,BA000057,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,1350300,11707.27,115.338611,100.0,True,2026-07-10
SUP_000123,FID_BNP,BA000058,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,507500,4813.76,105.42686,100.0,True,2026-07-26
SUP_000124,XS2428662824,BA000059,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,498800,4931.87,101.138156,100.0,False,2026-07-14
SUP_000125,LU0255977539,BA000060,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,92300,794.78,116.13262,33.62,False,2026-07-08
SUP_000126,XS2428662824,BA000060,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,171900,1453.54,118.263406,62.62,False,2026-07-27
SUP_000127,PE_CAY_01,BA000060,PE_CAY_01,Cayman Growth Fund I,PE,Cayman Islands,ELEVE,très faible,True,10300,82.0,125.607433,3.76,False,2026-07-16
SUP_000128,FID_BNP,BA000061,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,250800,2588.71,96.88228,100.0,True,2026-07-18
SUP_000129,FID_BNP,BA000062,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,79700,574.56,138.714765,40.29,True,2026-07-23
SUP_000130,FR0010392225,BA000062,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,62000,473.42,130.960631,31.34,True,2026-08-05
SUP_000131,FR001400OJI4,BA000062,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,100,0.89,112.094383,0.05,True,2026-08-04
SUP_000132,XS2428662824,BA000062,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,56000,667.02,83.955427,28.32,True,2026-07-14
SUP_000133,FAS_ROT,BA000063,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,209900,2324.67,90.292212,33.49,True,2026-07-26
SUP_000134,XS2428662824,BA000063,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,416900,4299.82,96.957532,66.51,True,2026-08-03
SUP_000135,LU0104884860,BA000064,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,1082300,12576.37,86.058232,100.0,False,2026-07-31
SUP_000136,FAS_IND,BA000065,FAS_IND,Indosuez Wealth Management FAS,FAS,Luxembourg,FAIBLE,moyenne,False,465500,3926.88,118.542097,51.93,True,2026-07-16
SUP_000137,LU0104884860,BA000065,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,430900,4712.39,91.439716,48.07,True,2026-07-21
SUP_000138,FID_BNP,BA000066,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,1681900,11363.33,148.011242,100.0,True,2026-07-19
SUP_000139,FID_BNP,BA000067,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,1212300,11182.48,108.410639,100.0,True,2026-07-07
SUP_000140,FID_UBS,BA000068,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,42800,406.69,105.241004,7.64,True,2026-07-28
SUP_000141,FR0010923383,BA000068,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,518300,3976.99,130.324712,92.36,True,2026-07-20
SUP_000142,FAS_ROT,BA000069,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,261500,1894.57,138.026132,100.0,True,2026-07-21
SUP_000143,FID_UBS,BA000070,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,66800,614.59,108.690703,16.77,True,2026-07-11
SUP_000144,LU0104884860,BA000070,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,331400,3063.53,108.175773,83.23,True,2026-07-28
SUP_000145,FR001400OJI4,BA000071,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,469700,5865.28,80.081469,74.25,False,2026-07-16
SUP_000146,PE_LUX_01,BA000071,PE_LUX_01,Luxembourg PE SICAR,PE,Luxembourg,FAIBLE,très faible,False,13200,163.02,80.971031,2.09,False,2026-08-01
SUP_000147,PE_CAY_01,BA000071,PE_CAY_01,Cayman Growth Fund I,PE,Cayman Islands,ELEVE,très faible,True,149700,1171.36,127.800592,23.66,False,2026-07-14
SUP_000148,FID_UBS,BA000072,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,192300,1581.92,121.56092,22.45,True,2026-07-29
SUP_000149,XS2428662824,BA000072,XS2428662824,BNP Paribas Certificat,OPCVM,Luxembourg,FAIBLE,moyenne,False,664400,4462.96,148.869849,77.55,True,2026-07-09
SUP_000150,FAS_IND,BA000073,FAS_IND,Indosuez Wealth Management FAS,FAS,Luxembourg,FAIBLE,moyenne,False,117200,1006.76,116.413099,14.18,True,2026-07-12
SUP_000151,FR0010923383,BA000073,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,709200,8417.41,84.253952,85.82,True,2026-07-26
SUP_000152,FID_BNP,BA000074,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,147300,1020.55,144.333423,38.62,True,2026-07-26
SUP_000153,FR0010923383,BA000074,FR0010923383,H2O Multistrategies R,OPCVM,France,FAIBLE,haute,False,234100,1809.77,129.353412,61.38,True,2026-07-16
SUP_000154,FAS_IND,BA000075,FAS_IND,Indosuez Wealth Management FAS,FAS,Luxembourg,FAIBLE,moyenne,False,1040000,10863.24,95.735736,62.58,True,2026-07-21
SUP_000155,FR001400OJI4,BA000075,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,621900,7532.62,82.560912,37.42,True,2026-07-27
